AA4_D5_18O-7 	 C6-B6-A6-A7-B7-C7	D7	E7	F7	G7-H7-H8-G8-F8-E8-D8-C8	B8-A8
AA4_D5_18O-7 	 1.750 0.010	1.727 0.000	1.720 0.000	1.712 0.000	1.687 0.022	1.406 0.095
AA4_D5_18O-7 	 160.73848444863307	136.76540440562547	179.0258069265957	149.82123501153214	464.80689470157665	13.715665062055077
AB4_D5_18O-7 	 D9-E9-F9-G9-H9-H10-G10-F10	E10	D10	C10	B10-A10-A11-B11-C11-D11-E11	F11
AB4_D5_18O-7 	 1.754 0.014	1.727 0.000	1.722 0.000	1.716 0.000	1.691 0.014	1.604 0.000
AB4_D5_18O-7 	 145.45923122883013	134.64961467958747	288.615180441021	281.657033960057	346.8419107071201	4.7508506556160075
AC4_D5_18O-7 	 B1-C1-D1-E1-F1-G1-H1-H2	G2	F2	E2-D2	C2-B2-A2-A3-B3-C3-D3
AC4_D5_18O-7 	 1.757 0.014	1.729 0.000	1.724 0.000	1.716 0.003	1.680 0.029
AC4_D5_18O-7 	 132.51782303992204	186.07639193750995	259.11150449499075	577.6768266512811	204.32773729457122
AA4_D5_18O-30 	 H3-H4-G4-F4-E4-D4-C4-B4	A4	A5	B5-C5	D5-E5-F5-G5-H5-H6-G6
AA4_D5_18O-30 	 1.757 0.014	1.729 0.000	1.724 0.000	1.716 0.003	1.680 0.029
AA4_D5_18O-30 	 358.7816364475938	138.27900582819797	214.78047292281968	389.8026268364166	153.1799805767651
AB4_D5_18O-30 	 C6-B6-A6-A7-B7-C7-D7	E7-F7	G7	H7	H8-G8-F8-E8-D8-C8-B8	A8
AB4_D5_18O-30 	 1.758 0.012	1.731 0.003	1.722 0.000	1.717 0.000	1.691 0.015	1.595 0.000
AB4_D5_18O-30 	 165.1495705437696	267.27093162675976	291.1114671864726	194.9039377590898	333.7143400241238	2.595131246853995
AC4_D5_18O-30 	 D9-E9-F9-G9-H9-H10-G10-F10	E10	D10	C10	B10-A10-A11-B11-C11-D11-E11	F11
AC4_D5_18O-30 	 1.755 0.014	1.728 0.000	1.722 0.000	1.716 0.000	1.692 0.013	1.610 0.000
AC4_D5_18O-30 	 262.5371856161352	187.37004769253298	271.05770697122585	287.93103020610414	347.64538678794986	5.263303823924362
